სათაური,
ჩემი პირველი პოეზიის ანთოლოგია,
9 მე მიყვარს კითხვა -  ელისის თავგადასავალი საოცრებათა ქვეყანაში,
თ.ბ - მონდო და სხვა მოთხრობები,
სიამაყე და მცდარი აზრი,
ჩემი პირველი ანბანი,
ოთარ ჭილაძის პოეზია,
მსოფლიო კლასიკოსები - მოწყენილობა,
თანამედროვე ბესტსელერი - გაყინული დრო,
აველუმი - ო.ჭილაძე,
სათვალიანი ქალი თოფით მანქანაში,
თანამედროვე ბესტსელერი - წრეში,
აუცილებლად საკითხავი -რეგტაიმი,
ქართველი გურმანი,
თანამედროვე ბესტსელერი - ღმერთია მოწამე,
თ.ბ - ჰაჰ,
წაუკითხე შენს პატარას(1წელი),
თ.ბ - ამბავი ჩვენი საარაკო სიყვარულისა,
მსოფლიო კლასიკოსები - მადამ ბოვარი,
თ.ბ - ლინჰის შვილიშვილი,
შეშლილი დროება,
8 მე მიყვარს კითხვა -ი.გოგებაშვილი შემეცნებითი მოთხრობები,
ურთიერთობების კოანი,
მსოფლიო კლასიკოსები - ჭრელი საბურველი,
მსოფლიო კლასიკოსები - დროის ინსტიტუტი,
თამაშები, რომლებსაც ადამიანები თამაშობენ,
ბალიშა ჩემი პირველი წიგნი ფერებსა და ფორმებზე,
ბალიშა ხუთკუნჭულა,
ბალიშა ჩემი პირველი ანბანი,
ჩემი პირველი ხალხური ლექსები და ანდაზები,
ბალიშა ჩემი პირველი წიგნი ცხოველებსა და ფრინველებზე,
ჩემი პირველი ლექსების წიგნი,
საქართველოს საოცრებანი,
მსოფლიო კლასიკოსები - ცოლთა სკოლა რბ.ყდა,
6 მე მიყვარს კითხვა - სპილო გრანდი და სხვა მოთხრობები,
მსოფლიო კლასიკოსები -გონება და გრძნობა,
12 მე მიყვარს კითხვა-მამელუკი,
აუცილებლად საკითხავი - ჩრდილოეთის ქარს უხდება,
12 მე მიყვარს კითხვა - ჯაშუში კუპერი,
მსოფლიო კლასიკოსები - სიკვდილი არქიეპისკოპოსსაც აკითხავს,
10 მე მიყვარს კითხვა - ეკატერინე გაბაშვილი რჩეული მოთხრობები,
სამშვენიეროს ლამაზმანები - ირმა მალაციძე,
9 მე მიყვარს კითხვა - ჰაიდი,
9 მე მიყვარს კითხვა - 100 იგავ-არაკი,
12 სერია მე მიყვარს კითხვა ფილოსოფია მოზარდთათვის (ელფი),
სამი განზომილება,
7 მე მიყვარს კითხვა -თავგასული ბიჭი და სხვა მოთხრობები,
11 მე მიყვარს კითხვა - სოლომონ მეფის საგანძური,
ლიმონათის ქვეყანა 477935,
7 მე მიყვარს კითხვა -თავგასული ბიჭი და სხვა მოთხრობები,
7 მე მიყვარს კითხვა-5 ბავშვი 5 თბილისი,
მსოფლიოს ისტორიის ენციკლოპედია,
გოგონას ენციკლოპედია,
7 მე მიყვარს კითხვა - დაბრუნებული ბგერები,
აკრძალული ადგილი,
ცის ფესვები,
ლურჯი წრეები,
დონ ჟუანი,
ნაპოლეონი,
ფრაგმენტები შეყვარებულის საუბრიდან,
დაპირება განთიადისას,
ჩემი საყვარელი მკვლელობები 2ტ,
XXI საუკუნის ხელნაწერი ვეფხისტყაოსანი (ლურჯი-წითელი),
ჩემი პირველი ხმოვანი წიგნი-ცხოველები,
მსოფლიო კლასიკოსები -მოწყენილობა,
ინდაურის კვერცხი,
პირამიდის გადმობრუნება, ფეხბურთის ტაქტიკების ისტორია,
მკვლელი ზაფხული,
წაუკითხე შენს პატარას,
თანამედროვე ბესტსელერი - აპნოე,
თ.ბ - ცირკი მიდის,
თ.ბ - მარტოსული სიყვარული,
მსოფლიო კლასიკოსები - დედაჩემი რბ.ყდა,
თ.ბ - ღირსების ველები,
თ.ბ - ცოცხალმკვდარნი,
11 მე მიყვარს კითხვა - პრინცი და მაწანწალა,
ჩემი პირველი ენციკლოპედია,
საქართველოს დიდი ბრძოლები,
12 მე მიყვარს კითხვა - მამები და შვილები,
10 მე მიყვარს კითხვა - პატარა პრინცესა,
ჩემი პირველი ალბომი ელფი,
12 მე მიყვარს კითხვა - კავკასია დიუმა,
11 მე მიყვარს კითხვა – მამაჩემი – ვაჟა-ფშაველა,
8 მე მიყვარს კითხვა ლეონარდო და ვინჩი - იგავ - არაკები,
12 მე მიყვარს კითხვა – კაპიტან გრანტის შვილები 2 ნაწილი,
მოდური გოგონები,
პაწაწინა - ახალშობილის მოვლა,
გარდავედ,მოსე,
დედაქალაქი,
ნათლისქრობა,
ადამიანი ხვდება ძაღლს,
დედის რძე,
დასავლეთი სარკმლის ანგელოზი,
არაჩვეულებრივი ოთხეული,
დორიან გრეის პორტრეტი,
მბ 9-10 ჯადოსნური ზამთარი,
სხვა კლასიკა - ძირს იარაღი,
მსოფლიო დროშები,
ომის წილი სინათლე,
ალისფერი დამღა,
დაგნი ანუ სიყვარულის აღაპი,
მე ის მიყვარდა,
აღიარება ხელისგულზე,
არასოდეს გამიშვა,
თუ საჭიროა, გათქმევინებთ,
იმპრესიონისტები 60 ამბავი,
სპილო წყვდიადში,
ილია ჭავჭავაძე 180 ამბავი,
პენელოპე მგზავრი,
სუმო,
ფეხბურთი 45+45 ამბავი,
ნობელიანტები ყველა ქვეყნისა,
შეთქმულება 1942-77 ამბავი,
ტფილისის ღამის რაინდები,
Жизнь в Советской  Грузии - 70 историй,
ნაპოლეონი - 51 კითხვა და ამდენივე პასუხი,
საქართველო უცხოელთა თვალით (XV-XVII სს.) 150 ამბავი,
100 ამბავი - თბილისური ჭორ-მართალი,
ომის დღიურები,
წმინდა კოლხეთი-არქანჯელო ლამბერტი,
ამაღლების ქუჩა,
